department,page_url,number
대학 공지,https://www.pusan.ac.kr/kor/CMS/Board/PopupBoard.do?robot=Y&mgr_seq=3&mode=list&page=2,98
대학 공지,https://www.pusan.ac.kr/kor/CMS/Board/PopupBoard.do?robot=Y&mgr_seq=3&mode=list&page=1,98
공과대학 공지사항,https://eng.pusan.ac.kr/eng/23336/subview.do,131
기계공학부(학부),https://me.pusan.ac.kr/new/sub05/sub01_01.php,4323
기계공학부(대학원),https://me.pusan.ac.kr/new/sub05/sub01_02.php,2984
기계공학부(장학),https://me.pusan.ac.kr/new/sub05/sub01_05.php,329
고분자공학과,https://polymer.pusan.ac.kr/polymer/3892/subview.do,933
고분자공학과(장학),https://polymer.pusan.ac.kr/polymer/5488/subview.do,230
고분자공학과(취업),https://polymer.pusan.ac.kr/polymer/5490/subview.do,1093
유기소재시스템공학과,https://omse.pusan.ac.kr/omse/9153/subview.do,391
화공생명공학과,https://ihis.pusan.ac.kr/chemeng/6432/subview.do,191
화공생명공학과(취업/장학),https://ihis.pusan.ac.kr/chemeng/6433/subview.do,285
환경공학과,https://pnuenv.pusan.ac.kr/pnuenv/5930/subview.do,3570
환경공학과(취업),https://pnuenv.pusan.ac.kr/pnuenv/5932/subview.do,1177
전자공학과(학부),https://ee.pusan.ac.kr/ee/ug-notice.do,3120
전기공학과(학부),https://eec.pusan.ac.kr/eehome/3028/subview.do,3639
전기공학과(대학원),https://eec.pusan.ac.kr/eehome/3029/subview.do,651
전기공학과(취업),https://eec.pusan.ac.kr/eehome/3030/subview.do,1300
반도체공학과,https://semi.pusan.ac.kr/semi/2869/subview.do,425
반도체공학과(대학원),https://semi.pusan.ac.kr/semi/2870/subview.do,35
조선해양공학과(학부),https://naoe.pusan.ac.kr/naoe/15332/subview.do,458
조선해양공학과(대학원),https://naoe.pusan.ac.kr/naoe/15334/subview.do,213
조선해양공학과(취업),https://naoe.pusan.ac.kr/naoe/32014/subview.do,287
재료공학부(학부),https://mse.pusan.ac.kr/mse/38585/subview.do,1375
재료공학부(대학원),https://mse.pusan.ac.kr/mse/50825/subview.do,298
재료공학부(자유),https://mse.pusan.ac.kr/mse/50826/subview.do,1038
재료공학부(취업),https://mse.pusan.ac.kr/mse/38587/subview.do,752
재료공학부(행사),https://mse.pusan.ac.kr/mse/38588/subview.do,150
산업공학과,https://ie.pusan.ac.kr/ie/5850/subview.do,1644
산업공학과(취업),https://ie.pusan.ac.kr/ie/5853/subview.do,4615
항공우주공학과,https://aerospace.pusan.ac.kr/aerospace/1455/subview.do,3589
항공우주공학과(장학),https://aerospace.pusan.ac.kr/aerospace/1449/subview.do,408
항공우주공학과(취업),https://aerospace.pusan.ac.kr/aerospace/1450/subview.do,724
건축공학과(학부),https://archieng.pusan.ac.kr/archieng/8424/subview.do,620
건축공학과(대학원),https://archieng.pusan.ac.kr/archieng/8425/subview.do,59
건축공학과(자유),https://archieng.pusan.ac.kr/archieng/8426/subview.do,39
건축학과,https://archi.pusan.ac.kr/archi/6175/subview.do,282
건축학과(대학원),https://archi.pusan.ac.kr/archi/6176/subview.do,264
건축학과(취업),https://archi.pusan.ac.kr/archi/6181/subview.do,176
도시공학과,https://urban.pusan.ac.kr/urban/4184/subview.do,2941
도시공학과(취업),https://urban.pusan.ac.kr/urban/4852/subview.do,293
사회기반시스템공학과(학부),https://civil.pusan.ac.kr/civil/10880/subview.do,744
사회기반시스템공학과(대학원),https://civil.pusan.ac.kr/civil/10881/subview.do,652
정보의생명공학대학 공지사항,https://ibe.pusan.ac.kr/ibe/50167/subview.do,417
정보컴퓨터공학부(학부),https://cse.pusan.ac.kr/cse/14651/subview.do,5617
정보컴퓨터공학부(대학원),https://cse.pusan.ac.kr/cse/14659/subview.do,1404
정보컴퓨터공학부(취업),https://cse.pusan.ac.kr/cse/14667/subview.do,2905
정보컴퓨터공학부(기타),https://cse.pusan.ac.kr/cse/54538/subview.do,1725
정보컴퓨터공학부(자유),https://cse.pusan.ac.kr/cse/14669/subview.do,330
정보컴퓨터공학부(대회),https://cse.pusan.ac.kr/cse/50876/subview.do,176
의생명융합공학부,https://bce.pusan.ac.kr/bce/5008/subview.do,2432
의생명융합공학부(대학원),https://bce.pusan.ac.kr/bce/5012/subview.do,487
의생명융합공학부(취업),https://bce.pusan.ac.kr/bce/5017/subview.do,435
AI대학원,https://ai.pusan.ac.kr/ai/2907/subview.do,605
나노과학기술대학,https://nano.pusan.ac.kr/nano/14200/subview.do,2537
나노과학기술대학(장학),https://nano.pusan.ac.kr/nano/14201/subview.do,160
나노메카트로닉스공학과,https://nanomecha.pusan.ac.kr/nanomecha/10848/subview.do,1054
나노메카트로닉스공학과(장학),https://nanomecha.pusan.ac.kr/nanomecha/10850/subview.do,451
나노메카트로닉스공학과(취업),https://nanomecha.pusan.ac.kr/nanomecha/10851/subview.do,467
나노에너지공학과,https://energy.pusan.ac.kr/energy/5109/subview.do,1134
나노에너지공학과(장학),https://energy.pusan.ac.kr/energy/5110/subview.do,469
나노에너지공학과(취업),https://energy.pusan.ac.kr/energy/5111/subview.do,488
광메카트로닉스공학과,https://ome.pusan.ac.kr/ome/9051/subview.do,1116
광메카트로닉스공학과(장학),https://ome.pusan.ac.kr/ome/9052/subview.do,428
광메카트로닉스공학과(취업),https://ome.pusan.ac.kr/ome/9053/subview.do,615
자연과학대학 공지사항,https://natural.pusan.ac.kr/natural/14107/subview.do,89
수학과(학부),https://math.pusan.ac.kr/math/11218/subview.do,3444
수학과(대학원),https://math.pusan.ac.kr/math/11222/subview.do,368
수학과(취업),https://math.pusan.ac.kr/math/11232/subview.do,1239
